datetime,no2
2018-01-01 01:00:00,37.57883
2018-01-01 02:00:00,25.35174
2018-01-01 03:00:00,18.03759
2018-01-01 04:00:00,23.24502
2018-01-01 05:00:00,23.04107
2018-01-01 06:00:00,19.01839
2018-01-01 07:00:00,16.18447
2018-01-01 08:00:00,19.02126
2018-01-01 09:00:00,22.42177
2018-01-01 10:00:00,17.21377
2018-01-01 11:00:00,20.09887
2018-01-01 12:00:00,23.49479
2018-01-01 13:00:00,25.96204
2018-01-01 14:00:00,22.26078
2018-01-01 15:00:00,24.22142
2018-01-01 16:00:00,21.33785
2018-01-01 17:00:00,11.59635
2018-01-01 18:00:00,10.92721
2018-01-01 19:00:00,13.19071
2018-01-01 20:00:00,8.55676
2018-01-01 21:00:00,9.0208
2018-01-01 22:00:00,7.32065
2018-01-01 23:00:00,10.20785
2018-01-02 00:00:00,8.14504
2018-01-02 01:00:00,8.11554
2018-01-02 02:00:00,9.49148
2018-01-02 03:00:00,13.10151
2018-01-02 04:00:00,21.70963
2018-01-02 05:00:00,22.53832
2018-01-02 06:00:00,31.34587
2018-01-02 07:00:00,47.1238
2018-01-02 08:00:00,65.56489
2018-01-02 09:00:00,65.12042
2018-01-02 10:00:00,62.30212
2018-01-02 11:00:00,50.17386
2018-01-02 12:00:00,48.37443
2018-01-02 13:00:00,44.33168
2018-01-02 14:00:00,52.82392
2018-01-02 15:00:00,58.1379
2018-01-02 16:00:00,60.54638
2018-01-02 17:00:00,67.32216
2018-01-02 18:00:00,68.69522
2018-01-02 19:00:00,57.02914
2018-01-02 20:00:00,42.80348
2018-01-02 21:00:00,24.99377
2018-01-02 22:00:00,17.11346
2018-01-02 23:00:00,12.68264
2018-01-03 00:00:00,11.80025
2018-01-03 01:00:00,7.49611
2018-01-03 02:00:00,6.33002
2018-01-03 03:00:00,6.5533
2018-01-03 04:00:00,5.62402
2018-01-03 05:00:00,6.55117
2018-01-03 06:00:00,7.2185
2018-01-03 07:00:00,14.43661
2018-01-03 08:00:00,19.84971
2018-01-03 09:00:00,28.03962
2018-01-03 10:00:00,26.59417
2018-01-03 11:00:00,23.50593
2018-01-03 12:00:00,20.41226
2018-01-03 13:00:00,21.33708
2018-01-03 14:00:00,21.80647
2018-01-03 15:00:00,29.07717
2018-01-03 16:00:00,30.01052
2018-01-03 17:00:00,28.51268
2018-01-03 18:00:00,26.03899
2018-01-03 19:00:00,21.65453
2018-01-03 20:00:00,16.24472
2018-01-03 21:00:00,12.22448
2018-01-03 22:00:00,13.15318
2018-01-03 23:00:00,14.75193
2018-01-04 00:00:00,16.40151
2018-01-04 01:00:00,12.11544
2018-01-04 02:00:00,12.39217
2018-01-04 03:00:00,14.1465
2018-01-04 04:00:00,16.86238
2018-01-04 05:00:00,15.33431
2018-01-04 06:00:00,22.50461
2018-01-04 07:00:00,38.1174
2018-01-04 08:00:00,49.93017
2018-01-04 09:00:00,59.44627
2018-01-04 10:00:00,76.37506
2018-01-04 11:00:00,67.87141
2018-01-04 12:00:00,67.41459
2018-01-04 13:00:00,54.50483
2018-01-04 14:00:00,43.09468
2018-01-04 15:00:00,23.62323
2018-01-04 16:00:00,21.45887
2018-01-04 17:00:00,24.65143
2018-01-04 18:00:00,26.82027
2018-01-04 19:00:00,25.63831
2018-01-04 20:00:00,26.31358
2018-01-04 21:00:00,31.84726
2018-01-04 22:00:00,28.2893
2018-01-04 23:00:00,30.197
2018-01-05 00:00:00,36.221
2018-01-05 01:00:00,25.47874
2018-01-05 02:00:00,20.25132
2018-01-05 03:00:00,23.60761
2018-01-05 04:00:00,30.63063
2018-01-05 05:00:00,26.69986
2018-01-05 06:00:00,29.22647
2018-01-05 07:00:00,46.20767
2018-01-05 08:00:00,62.23593
2018-01-05 09:00:00,74.95966
2018-01-05 10:00:00,82.81008
2018-01-05 11:00:00,76.47274
2018-01-05 12:00:00,72.02282
2018-01-05 13:00:00,59.96562
2018-01-05 14:00:00,49.59378
2018-01-05 15:00:00,47.88018
2018-01-05 16:00:00,62.57735
2018-01-05 17:00:00,72.75653
2018-01-05 18:00:00,74.99722
2018-01-05 19:00:00,78.92865
2018-01-05 20:00:00,90.98228
2018-01-05 21:00:00,98.07242
2018-01-05 22:00:00,102.04181
2018-01-05 23:00:00,97.63327
2018-01-06 00:00:00,106.4519
2018-01-06 01:00:00,100.53124
2018-01-06 02:00:00,88.73013
2018-01-06 03:00:00,71.00302
2018-01-06 04:00:00,58.61019
2018-01-06 05:00:00,51.89541
2018-01-06 06:00:00,16.2685
2018-01-06 07:00:00,17.08878
2018-01-06 08:00:00,27.05115
2018-01-06 09:00:00,32.92375
2018-01-06 10:00:00,39.71668
2018-01-06 11:00:00,37.229
2018-01-06 12:00:00,34.92226
2018-01-06 13:00:00,43.78198
2018-01-06 14:00:00,37.40935
2018-01-06 15:00:00,38.40387
2018-01-06 16:00:00,43.57025
2018-01-06 17:00:00,54.26391
2018-01-06 18:00:00,63.03167
2018-01-06 19:00:00,62.05491
2018-01-06 20:00:00,55.91157
2018-01-06 21:00:00,49.94366
2018-01-06 22:00:00,46.15995
2018-01-06 23:00:00,49.53638
2018-01-07 00:00:00,46.88098
2018-01-07 01:00:00,47.8879
2018-01-07 02:00:00,58.55935
2018-01-07 03:00:00,42.89967
2018-01-07 04:00:00,30.60809
2018-01-07 05:00:00,40.73924
2018-01-07 06:00:00,38.98866
2018-01-07 07:00:00,28.12401
2018-01-07 08:00:00,22.5359
2018-01-07 09:00:00,28.7225
2018-01-07 10:00:00,37.7509
2018-01-07 11:00:00,46.70564
2018-01-07 12:00:00,29.10633
2018-01-07 13:00:00,26.31784
2018-01-07 14:00:00,25.50351
2018-01-07 15:00:00,30.15457
2018-01-07 16:00:00,30.00713
