Hourly measurement data supplied by UK-air on 18/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Manchester Piccadilly",
Latitude,,53.481520,,
Longitude,,-2.237881,,
Site Type,,Urban Background,,
Zone,,North West & Merseyside,,
Agglomeration,,Greater Manchester Urban Area,,
Local Authority,,"Manchester",,
Date,Time,"Nitrogen dioxide",Status
2018-01-01,01:00:00,37.57883,V ugm-3
2018-01-01,02:00:00,25.35174,V ugm-3
2018-01-01,03:00:00,18.03759,V ugm-3
2018-01-01,04:00:00,23.24502,V ugm-3
2018-01-01,05:00:00,23.04107,V ugm-3
2018-01-01,06:00:00,19.01839,V ugm-3
2018-01-01,07:00:00,16.18447,V ugm-3
2018-01-01,08:00:00,19.02126,V ugm-3
2018-01-01,09:00:00,22.42177,V ugm-3
2018-01-01,10:00:00,17.21377,V ugm-3
2018-01-01,11:00:00,20.09887,V ugm-3
2018-01-01,12:00:00,23.49479,V ugm-3
2018-01-01,13:00:00,25.96204,V ugm-3
2018-01-01,14:00:00,22.26078,V ugm-3
2018-01-01,15:00:00,24.22142,V ugm-3
2018-01-01,16:00:00,21.33785,V ugm-3
2018-01-01,17:00:00,11.59635,V ugm-3
2018-01-01,18:00:00,10.92721,V ugm-3
2018-01-01,19:00:00,13.19071,V ugm-3
2018-01-01,20:00:00,8.55676,V ugm-3
2018-01-01,21:00:00,9.0208,V ugm-3
2018-01-01,22:00:00,7.32065,V ugm-3
2018-01-01,23:00:00,10.20785,V ugm-3
2018-01-01,24:00:00,8.14504,V ugm-3
2018-01-02,01:00:00,8.11554,V ugm-3
2018-01-02,02:00:00,9.49148,V ugm-3
2018-01-02,03:00:00,13.10151,V ugm-3
2018-01-02,04:00:00,21.70963,V ugm-3
2018-01-02,05:00:00,22.53832,V ugm-3
2018-01-02,06:00:00,31.34587,V ugm-3
2018-01-02,07:00:00,47.1238,V ugm-3
2018-01-02,08:00:00,65.56489,V ugm-3
2018-01-02,09:00:00,65.12042,V ugm-3
2018-01-02,10:00:00,62.30212,V ugm-3
2018-01-02,11:00:00,50.17386,V ugm-3
2018-01-02,12:00:00,48.37443,V ugm-3
2018-01-02,13:00:00,44.33168,V ugm-3
2018-01-02,14:00:00,52.82392,V ugm-3
2018-01-02,15:00:00,58.1379,V ugm-3
2018-01-02,16:00:00,60.54638,V ugm-3
2018-01-02,17:00:00,67.32216,V ugm-3
2018-01-02,18:00:00,68.69522,V ugm-3
2018-01-02,19:00:00,57.02914,V ugm-3
2018-01-02,20:00:00,42.80348,V ugm-3
2018-01-02,21:00:00,24.99377,V ugm-3
2018-01-02,22:00:00,17.11346,V ugm-3
2018-01-02,23:00:00,12.68264,V ugm-3
2018-01-02,24:00:00,11.80025,V ugm-3
2018-01-03,01:00:00,7.49611,V ugm-3
2018-01-03,02:00:00,6.33002,V ugm-3
2018-01-03,03:00:00,6.5533,V ugm-3
2018-01-03,04:00:00,5.62402,V ugm-3
2018-01-03,05:00:00,6.55117,V ugm-3
2018-01-03,06:00:00,7.2185,V ugm-3
2018-01-03,07:00:00,14.43661,V ugm-3
2018-01-03,08:00:00,19.84971,V ugm-3
2018-01-03,09:00:00,28.03962,V ugm-3
2018-01-03,10:00:00,26.59417,V ugm-3
2018-01-03,11:00:00,23.50593,V ugm-3
2018-01-03,12:00:00,20.41226,V ugm-3
